"c_id","c_name","c_rss","c_parent","c_show_search","c_show_sub","c_show_pic","c_show_date","c_show_detail","c_show_subnew","c_type","d_id","d_id_w3c"
"2","เกี่ยวกับศูนย์ CCPL",NULL,"0",,"Y","images/design2015/icon_list.png",,,,,"6","0"
"3","สาระเรื่องค้ามนุษย์",NULL,"0",,"Y","images/bullet/bullet01.jpg",,,,,"6","0"
"4","กฎหมาย/ระเบียบที่เกี่ยวข้อง",NULL,"0",,"Y","images/bullet/bullet01.jpg",,,,,"6","0"
"5","ผลการดำเนินงาน",NULL,"0",,"Y",,,,,,"6","0"
"6","การประชุม/สัมมนา",NULL,"0",,"Y","@detail_news#",,,,,"6","0"
"7","ติดต่อเรา",NULL,"0",,"Y","images/bullet/bullet01.jpg",,,,,"6","0"
"8","ติดตามสถานการณ์",NULL,"0",,"Y",,,,,,"6","0"
"9","ข่าวสาร",NULL,"0",,"Y","@detail_news#","C",,,,"6","0"
"10","สถานการณ์เร่งด่วน",NULL,"8","Y","Y",,,,,,"6","0"
"11","สถานการณ์ประจำวัน",NULL,"8","Y","Y",,,,,,"6","0"
"12","แผนปฏิบัติการ/ยุทธศาสตร์",NULL,"0",,,"images/bullet/bullet01.jpg",,,,,"6","0"
"15","ค้นหา",NULL,"0","Y",,,"C",,,,"0","0"
"18","VDO",NULL,"0",,,"images/bullet/bullet01.jpg",,,,,"6","0"
"17","การประชุม/สัมมนา",NULL,"0",,,"images/design2015/icon.png",,,,,"6","0"
"19","ประชุมเตรียมความพร้อมก่อนไปร่วมกับสหภาพยุโรป (EU)",NULL,"0","Y",,,"C",,,,"0","0"
