"ad_id","n_id","at_type_col","at_type_row","ad_pic_s","ad_pic_h","ad_pic_w","ad_pic_b","ad_des","ad_font","ad_size","ad_bold","ad_italic","ad_color","ad_align","ad_count"
"1","1","1","1",,"200","200",,"

<div align=""center""><span style=""COLOR: #800080; FONT-SIZE: 12pt""><strong>โครงการฝึกอบรมและประชุมเชิงปฏิบัติการเจ้าหน้าที่ศูนย์บริการร่วมกระทรวงแรงงาน </strong></span></div>

<div align=""center""><span style=""COLOR: #800080; FONT-SIZE: 12pt""><strong>ระหว่างวันที่ 10-12 กรกฏาคม 2551 </strong></span></div>

<div align=""center""><span style=""COLOR: #800080; FONT-SIZE: 12pt""><strong>ณ.กระทรวงแรงงานและโรงแรมบางกอก กอล์ฟ สปา รีสอร์ท จังหวัดปทุมธานี</strong></span> </div>","MS Sans Serif","1",NULL,NULL,"#000000","left","0"
"2","1","1","2","t20150203152348_2.jpg","200","200","n20150203152348_2.jpg",NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"3","1","2","2","t20150203152351_3.jpg","200","200","n20150203152351_3.jpg",NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"4","1","3","2","t20150203152354_4.jpg","200","200","n20150203152354_4.jpg",NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"5","1","1","3","t20150203152409_5.jpg","200","200","n20150203152409_5.jpg",NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"6","1","2","3","t20150203152412_6.jpg","200","200","n20150203152412_6.jpg",NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"7","1","3","3","t20150203152429_7.jpg","200","200","n20150203152429_7.jpg",NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"8","1","1","4","t20150203152602_8.jpg","200","200","n20150203152602_8.jpg",NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"9","1","2","4","t20150203152614_9.jpg","200","200","n20150203152614_9.jpg",NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"10","1","3","4","t20150203152713_10.jpg","200","200","n20150203152713_10.jpg",NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"11","1","1","5",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
"12","1","2","5",,"200","200",,NULL,"MS Sans Serif","1",NULL,NULL,"#000000","center","0"
