"c_id","c_name","c_rss","c_parent","c_show_search","c_show_sub","c_show_pic","c_show_date","c_show_detail","c_show_subnew","c_type","d_id","d_id_w3c"
"1","เกี่ยวกับศูนย์บริการประชาชน",NULL,"0",,,"images/template_2015/icon_cont.jpg",,,,,"5","0"
"2","งานบริการ",NULL,"0",,,"images/template_2015/icon_cont.jpg",,,,,"5","0"
"3","ดาวน์โหลดแบบฟอร์ม",NULL,"0",,,"images/template_2015/icon_cont.jpg",,,,,"5","0"
"4","ภาพกิจกรรม",NULL,"0",,,"images/template_2015/icon_cont.jpg","C",,,,"5","0"
"5","ข่าวประชาสัมพันธ์",NULL,"0",,,"images/template_2015/icon_cont_03.png","C",,,,"5","0"
"6","ติดต่อเรา",NULL,"0",,,,,,,,"5","0"
"7","e-Service MOL",NULL,"0",,,,,,,,"5","0"
"8","ดาวน์โหลดคู่มือ/แบบฟอร์ม",NULL,"0",,,"images/template_2015/icon_cont_03.png",,,,,"5","0"
"9","เกียรติรางวัล",NULL,"1",,,"@detail_news#",,"Y","Y",,"5","0"
"10","ผังขั้นตอนการให้บริการ",NULL,"2",,,"images/template_2015/icon_cont_03.png",,,"Y",,"5","0"
