"n_id","c_id","n_date","n_new_modi","n_last_modi","n_timestamp","n_topic","n_des","source","sourceLink","keyword","picture","news_use","at_id","d_id","link_html","target","expire","logo","access","n_share","n_shareuse","n_sharename","n_shareid","n_approve","n_approvedate","for_pda","show_newstop","show_vote","show_comment","comment_type","n_owner","n_date_start","n_date_end","n_time","n_delowner","n_deldate","show_group","show_topic","show_date","n_owner_org","show_textsize","show_count","d_id_w3c","picture_alt","html","wcag","css"
"1","2","2555-04-22","20120422210224","20120422210224","2012-04-22 21:02:24","ฝึกอาชีพ",,,,,,"1","11","4","#","_blank","2555-04-27",,,NULL,NULL,NULL,NULL,,"2014-10-30",NULL,NULL,NULL,NULL,NULL,"0",,,,NULL,NULL,"1","1","1",,,,"0",NULL,NULL,NULL,NULL
"2","2","2555-04-22","20120422210236","20120501131409","2012-04-22 21:02:36","ประกอบอาชีพอิสระ",,,,,,"1","11","4","#","_blank","2555-04-27",,,,NULL,NULL,NULL,"D","2012-04-22",NULL,NULL,NULL,NULL,NULL,"0",,,,"0","20120425102959","1","1","1",,,,"0",NULL,NULL,NULL,NULL
"3","2","2555-04-22","20120422210246","20120422210246","2012-04-22 21:02:46","รับงานไปทำที่บ้าน",,,,,,"1","11","4","#","_blank","2555-04-27",,,,NULL,NULL,NULL,"D","2012-04-22",NULL,NULL,NULL,NULL,NULL,"0",,,,"0","20120425102959","1","1","1",,,,"0",NULL,NULL,NULL,NULL
"4","46","2555-04-22","20120422210255","20120629115216","2012-07-02 17:02:18","การทำงานของคนต่างด้าว",,,,,,"1","11","4","http://wp.doe.go.th/","_blank","2555-04-27",,,NULL,NULL,NULL,NULL,"Y","2012-04-30",NULL,NULL,NULL,NULL,NULL,"0",,,,NULL,NULL,"1","1","1",,,"3","0",NULL,NULL,NULL,NULL
"5","2","2555-04-22","20120422210304","20130528174537","2012-04-22 21:03:04","คนพิการหางาน",,,,,,"1","11","4","#","_blank","2555-04-27",,,,NULL,NULL,NULL,"D","2012-04-22",NULL,NULL,NULL,NULL,NULL,"0",,,,"0","20120425103039","1","1","1",,,,"0",NULL,NULL,NULL,NULL
"6","2","2555-04-22","20120422210314","20120619094621","2012-04-25 09:50:29","ทำงานในต่างประเทศ",,,,,,"1","11","4","http://www.overseas.doe.go.th/","_blank","2555-04-27",,,,NULL,NULL,NULL,"D","2012-04-22",NULL,NULL,NULL,NULL,NULL,"0",,,,"0","20120425103139","1","1","1",,,,"0",NULL,NULL,NULL,NULL
"7","2","2555-04-22","20120422210324","20120422210324","2012-04-22 21:03:24","หางานในประเทศ",,,,,,"1","11","4","#","_blank","2555-04-27",,,,NULL,NULL,NULL,"D","2012-04-22",NULL,NULL,NULL,NULL,NULL,"0",,,,"0","20120425103051","1","1","1",,,,"0",NULL,NULL,NULL,NULL
"8","3","2555-04-22","20120422210344","20120422210344","2012-04-25 15:00:24","ต้องการทดสอบมาตรฐานฝีมือ",,,,,,"1","11","4","more_news.php?cid=36","_blank","2555-04-27",,,NULL,NULL,NULL,NULL,,"2012-04-25",NULL,NULL,NULL,NULL,NULL,"0",,,,NULL,NULL,"1","1","1",,,,"0",NULL,NULL,NULL,NULL
"9","3","2555-04-22","20120422210355","20120423131527","2012-04-22 21:03:55","ต้องการฝึกทักษะฝีมือ",,,,,,"1","11","4","#","_blank","2555-04-27",,,NULL,NULL,NULL,NULL,,"2012-04-25",NULL,NULL,NULL,NULL,NULL,"0",,,,NULL,NULL,"1","1","1",,,,"0",NULL,NULL,NULL,NULL
"10","3","2555-04-22","20120422210429","20160201083629","2012-04-22 21:04:29","เมื่อไม่ได้รับความเป็นธรรมจากนายจ้าง",,,,,,"1","11","4","#","_blank","2555-04-27",,,NULL,NULL,NULL,NULL,,"2012-04-25",NULL,NULL,NULL,NULL,NULL,"0",,,,NULL,NULL,"1","1","1",,,,"0",NULL,NULL,NULL,NULL
