"c_id","c_name","c_rss","c_parent","c_show_search","c_show_sub","c_show_pic","c_show_date","c_show_detail","c_show_subnew","c_type","d_id","d_id_w3c"
"1","ระเบียบและหลักเณฑ์",NULL,"0",,,"images/icon/icon2.png",,,,,"0","0"
"2","คำสั่ง",NULL,"0",,,"images/icon/icon2.png",,,,,"0","0"
"3","ข่าวการอบรม/สัมมนา",NULL,"0",,,"images/icon/icon2.png","C","Y",,,"2","0"
"4","ข่าวรับสมัครงาน",NULL,"0",,,"images/icon/icon2.png",,,,,"0","0"
"5","แบบฟอร์มต่างๆ",NULL,"0",,,"images/icon/icon2.png",,,,,"0","0"
"6","ติดต่อเจ้าหน้าที่",NULL,"0",,,"images/icon/icon2.png",,,,,"0","0"
"7","โครงสร้างและอัตรากำลัง สป.",NULL,"0",,,"images/icon/icon2.png",,,,,"0","0"
"8","ข่าวประชาสัมพันธ์/ประกาศ",NULL,"0",,"Y","images/icon/icon2.png",,"Y",,,"0","0"
"9","สาระน่ารู้",NULL,"0",,,,,,,,"0","0"
"10","สำนักบริหารทรัพยากรบุคคล",NULL,"0",,,,,,,,"2","0"
"11","สิทธิประโยชน์",NULL,"0",,,,,,,,"2","0"
"12","คู่มือ (Manual)",NULL,"9",,"Y","images/icon/icon2.png",,,,,"2","0"
"13","คลังความรู้",NULL,"9",,"Y","images/icon/icon2.png",,,,,"2","0"
"14","แผนบริหารทรัพยากรบุคคล",NULL,"9",,"Y","images/icon/icon2.png",,,,,"2","0"
"15","ผลงานวิจัย",NULL,"13",,"Y","images/icon/icon2.png",,,,,"2","0"
"16","บทความ",NULL,"13",,"Y","images/icon/icon2.png",,,,,"2","0"
"17","E-books",NULL,"13",,"Y","images/icon/icon2.png",,,,,"2","0"
"18","ข้าราชการ",NULL,"11",,"Y","images/icon/icon2.png",,"Y",,,"2","0"
"19","บุคคลดีเด่นที่ได้รับการยกย่องและเชิดชูเกียรติ ",NULL,"9",,"Y","images/icon/icon2.png","C",,,,"0","0"
"20","เครื่องราชอิสริยาภรณ์ และพระราชทานเพลิงศพ",NULL,"9",,"Y","images/icon/icon2.png","C",,,,"0","0"
"21","ข่าวเด่น",NULL,"0",,,"images/icon/icon2.png",,,,,"0","0"
"22","ลูกจ้างประจำ",NULL,"11",,"Y","images/icon/icon2.png",,"Y",,,"2","0"
"23","พนักงานราชการ",NULL,"11",,"Y","images/icon/icon2.png",,"Y",,,"2","0"
"25","กลุ่มงานวินัย",NULL,"10","Y","Y",,"C","Y","Y",,"0","0"
"33","ทดสอบ1",NULL,"32",,,,"C",,,,"0","0"
"28","กฎหมาย/ระเบียบ",NULL,"25","Y",,,"C",,,,"0","0"
"32","ทดสอบ",NULL,"16","Y",,,"C","Y",,"M","1","1"
"34","ทดสอบ2",NULL,"32","Y","Y",,"C","Y","Y",,"1","1"
"35","KM",NULL,"0",,,,"C",,,,"0","0"
