"n_id","c_id","n_date","n_new_modi","n_last_modi","n_timestamp","n_topic","n_des","source","sourceLink","keyword","picture","news_use","at_id","d_id","link_html","target","expire","logo","access","n_share","n_shareuse","n_sharename","n_shareid","n_approve","n_approvedate","for_pda","show_newstop","show_vote","show_comment","comment_type","n_owner","n_date_start","n_date_end","n_time","n_delowner","n_deldate","show_group","show_topic","show_date","n_owner_org","show_textsize","show_count","d_id_w3c","picture_alt","html","wcag","css"
"1","8","2556-12-24","20131224104953","20131224104953","2013-12-24 10:49:53","ทดสอบ",,,,,,"1","11","0","#","_self","2556-12-29",,,,NULL,NULL,NULL,"D","2013-12-24",NULL,NULL,NULL,NULL,NULL,"0",,,,"0","20140325110025","1","1","1",,,,"0",NULL,NULL,NULL,NULL
"6","2","2556-11-05","20140107100528","20140107100528","2014-01-07 10:05:28","คำสั่งกระทรวงแรงงาน ที่ ๔๕๒/๒๕๕๖ เรื่อง แต่งตั้งหัวหน้าและรองหัวหน้าผู้ตรวจราชการกระทรวงแรงงาน และผู้รักษาการในตำแหน่ง และคำสั่งกระทรวงแรงงาน ที่ ๔๕๓/๒๕๕๖ เรื่อง มอบหมายให้ผู้ตรวจราชการกระทรวงแรงงานรับผิดชอบเขตตรวจราชการ ",,,,,,"1","11","0","download/article/article_20140107100528.pdf","_blank","2557-01-12",,,NULL,NULL,NULL,NULL,"Y","2014-01-07",NULL,NULL,NULL,NULL,NULL,"0",,,,NULL,NULL,"1","1","1",,,,"0",NULL,NULL,NULL,NULL
"5","2","2556-11-04","20140107090709","20140107090709","2014-01-07 09:37:40","คำสั่งแต่งตั้งที่ปรึกษารัฐมนตรีว่าการกระทรวงแรงงาน",,,,,,"1","11","0","download/article/article_20140107093740.pdf","_blank","2557-01-12",,,NULL,NULL,NULL,NULL,"Y","2014-01-07",NULL,NULL,NULL,NULL,NULL,"0",,,,NULL,NULL,"1","1","1",,,,"0",NULL,NULL,NULL,NULL
"7","2","2556-11-18","20140107100804","20140521111927","2014-01-07 10:08:04","แต่งตั้งข้าราชการให้ดำรงตำแหน่งประเภทอำนวยการระดับสูง ",,,,,,"1","11","0","download/article/article_20140107100804.pdf","_blank","2557-01-12",,,NULL,NULL,NULL,NULL,"Y","2014-01-07",NULL,NULL,NULL,NULL,NULL,"0",,,,NULL,NULL,"1","1","1",,,,"0",NULL,NULL,NULL,NULL
"8","2","2556-11-19","20140107100907","20140613110142","2014-01-07 10:09:07","ให้ข้าราชการได้รับเงินเดือนและค่าตอบแทนรายเดือน ",,,,,,"1","11","0","download/article/article_20140107100907.pdf","_blank","2557-01-12",,,NULL,NULL,NULL,NULL,"Y","2014-01-07",NULL,NULL,NULL,NULL,NULL,"0",,,,NULL,NULL,"1","1","1",,,,"0",NULL,NULL,NULL,NULL
"9","2","2556-11-21","20140107101427","20140320165441","2014-01-07 10:14:27","คำสั่งแต่งตั้งผู้รักษาราชการแทนปลัดกระทรวงแรงงาน (ปรับปรุง) ",,,,,,"1","11","0","download/article/article_20140107101427.pdf","_blank","2557-01-12",,,NULL,NULL,NULL,NULL,"Y","2014-01-07",NULL,NULL,NULL,NULL,NULL,"0",,,,NULL,NULL,"1","1","1",,,,"0",NULL,NULL,NULL,NULL
"10","2","2556-11-25","20140107101609","20140611160424","2014-01-07 10:16:09","ปรับปรุงคำสั่งแต่งตั้งหัวหน้ากลุ่มภารกิจ,ผู้รักษาราชการแทนหัวหน้ากลุ่มภารกิจ และคำสั่งมอบอำนาจการปฏิบัติราชการแทนปลัดกระทรวงแรงงาน ",,,,,,"1","11","0","download/article/article_20140107101609.pdf","_blank","2557-01-12",,,NULL,NULL,NULL,NULL,"Y","2014-01-07",NULL,NULL,NULL,NULL,NULL,"0",,,,NULL,NULL,"1","1","1",,,,"0",NULL,NULL,NULL,NULL
"11","2","2556-12-18","20140107101644","20140320150759","2014-01-07 10:16:44","คำสั่งโอนข้าราชการพลเรือนสามัญ ",,,,,,"1","11","0","download/article/article_20140107101644.pdf","_blank","2557-01-12",,,NULL,NULL,NULL,NULL,"Y","2014-01-07",NULL,NULL,NULL,NULL,NULL,"0",,,,NULL,NULL,"1","1","1",,,,"0",NULL,NULL,NULL,NULL
"12","2","2556-12-18","20140107101717","20140512150026","2014-01-07 10:17:17","คำสั่งย้ายข้าราชการ ",,,,,,"1","11","0","download/article/article_20140107101717.pdf","_blank","2557-01-12",,,NULL,NULL,NULL,NULL,"Y","2014-01-07",NULL,NULL,NULL,NULL,NULL,"0",,,,NULL,NULL,"1","1","1",,,,"0",NULL,NULL,NULL,NULL
"13","2","2556-12-18","20140107101747","20140320162043","2014-01-07 10:17:47","คำสั่งโอนข้าราชการพลเรือนสามัญ ",,,,,,"1","11","0","download/article/article_20140107101747.pdf","_blank","2557-01-12",,,NULL,NULL,NULL,NULL,"Y","2014-01-07",NULL,NULL,NULL,NULL,NULL,"0",,,,NULL,NULL,"1","1","1",,,,"0",NULL,NULL,NULL,NULL
