"c_id","c_name","c_rss","c_parent","c_show_search","c_show_sub","c_show_pic","c_show_date","c_show_detail","c_show_subnew","c_type","d_id","d_id_w3c"
"1","ข่าวกิจกรรมสมาคมแม่บ้านแรงงาน",NULL,"0",,,"@detail_news#","C","Y",,,"3","0"
"2","วัตถุประสงค์",NULL,"0",,,"images/design/arrow.png",,"Y",,,"3","0"
"3","สัญลักษณ์",NULL,"0",,,"images/design/arrow.png",,"Y",,,"3","0"
"4","เกี่ยวกับสมาคมฯ",NULL,"0",,,"images/design/arrow.png",,"Y",,,"3","0"
"5","คณะกรรมการบริหาร",NULL,"0",,,"images/design/arrow.png",,"Y",,,"3","0"
"6","สมาชิกสมาคมฯ",NULL,"0","Y",,"images/design/arrow.png",,"Y",,,"3","0"
"7","การประชุม / กิจกรรม",NULL,"0",,,"images/design/arrow.png",,"Y",,,"3","0"
"8","ข้อบังคับและระเบียบ","Y","0",,,"images/design/arrow.png",,"Y",,,"3","0"
"9","แบบฟอร์มต่างๆ",NULL,"0",,,"images/design/arrow.png",,"Y",,,"3","0"
"10","ข่าวประชาสัมพันธ์","Y","0","Y",,"@detail_news#","C","Y",,,"0","0"
