"n_id","c_id","n_date","n_new_modi","n_last_modi","n_timestamp","n_topic","n_des","source","sourceLink","keyword","picture","news_use","at_id","d_id","link_html","target","expire","logo","access","n_share","n_shareuse","n_sharename","n_shareid","n_approve","n_approvedate","for_pda","show_newstop","show_vote","show_comment","comment_type","n_owner","n_date_start","n_date_end","n_time","n_delowner","n_deldate","show_group","show_topic","show_date","n_owner_org","show_textsize","show_count","d_id_w3c","picture_alt","html","wcag","css"
"1","1","2555-04-25","20120425131652","20180910135601","2012-04-25 13:26:04","ขอเชิญประชาชนทั่วไปร่วมกิจกรรมบิงโก ร้านกาชาดกระทรวงแรงงาน","กระทรวงแรงงาน ร่วมกิจกรรมงานกาชาดประจำปี 2554 โดยจัดกิจกรรมบิงโก ",,,,"n20120425_1.jpg","1","11","0","#","_self","2555-04-30",,,,NULL,NULL,NULL,"D","2012-05-22",NULL,NULL,NULL,NULL,NULL,"0",,,,"0","20120522135156","1","1","1",,,,"0",NULL,NULL,NULL,NULL
"5","1","2553-12-02","20120522134859","20180724173649","2012-05-22 13:48:59","สมาคมแม่บ้านแรงงาน จัดการแข่งขันกอล์ฟการกุศล","เมื่อวันที่  2  ธันวาคม  2553  สมาคมแม่บ้านแรงงานโดยนางจันทนี  ฉายะศรีวงศ์  นายกสมาคม  ได้ร่วมกับชมรมกอล์ฟมิตรไมตรี  กระทรวงแรงงาน  จัดประชุมคณะกรรมการจัดการแข่งขันกอล์ฟการกุศล  โดยมีวัตถุประสงค์เพื่อหารายได้สนับสนุนการดำเนินกิจกรรมของสมาคมฯ",,,,"n20120522_5.jpg","2","10","0",,"_self","2555-05-27",,,NULL,NULL,NULL,NULL,,"2017-11-24",NULL,,,,"1","0",,,,NULL,NULL,"1","1","1",,,"1","0",NULL,NULL,NULL,NULL
"2","1","2555-04-25","20120425131847","20120529145100","2012-04-25 13:25:47","การร่วมอาเศียรวาทถวายพระพร ๑๒ สิงหาคม ๒๕๕๔ ","วันที่ ๒๐ กรกฎาคม ๒๕๕๔ คณะกรรมการสมาคมแม่บ้านแรงงาน  และผู้บริหารระดับสูงของกระทรวงแรงงาน ร่วมบันทึกเทป ...",,,,"n20120425_2.jpg","1","11","0","#","_self","2555-04-30",,,,NULL,NULL,NULL,"D","2012-05-22",NULL,NULL,NULL,NULL,NULL,"0",,,,"0","20120522135156","1","1","1",,,,"0",NULL,NULL,NULL,NULL
"3","1","2555-04-25","20120425132058","20180724173728","2012-05-14 13:40:19","ก.แรงงาน ร่วมกับสมาคมแม่บ้านแรงงานจัดโครงการ ..","นางจันทนี ฉายะศรีวงศ์ นายกสมาคมแม่บ้านกระทรวงแรงงาน เยี่ยมให้กำลังใจผู้บริจาคโลหิตโดยกระทรวงแรงงานร่วมกับ...",,,,"n20120425_3.jpg","1","11","0","#","_self","2556-04-30","news.gif",,,NULL,NULL,NULL,"D","2012-05-22",NULL,NULL,NULL,NULL,NULL,"0",,,,"0","20120522135156","1","1","1",,,,"0",NULL,NULL,NULL,NULL
"4","1","2555-05-22","20120522132035","20180724173529","2012-05-22 13:37:42","ก.แรงงาน ร่วมกับสมาคมแม่บ้านแรงงานจัดโครงการ แรงงานรวมใจ ร่วมทำความดี บริจาคโลหิตถวายพ่อของแผ่นดินเพื่อถวายเป็นพระราชกุศล","นางจันทนี ฉายะศรีวงศ์ นายกสมาคมแม่บ้านกระทรวงแรงงาน เยี่ยมให้กำลังใจผู้บริจาคโลหิตโดยกระทรวงแรงงานร่วมกับสมาคมแม่บ้านแรงงานจัดโครงการแรงงานรวมใจ ร่วมทำความดี บริจาคโลหิตถวายพ่อของแผ่นดิน เพื่อถวายเป็นพระราชกุศลและช่วยเหลือผู้ป่วยที่ได้รับผลกระทบจากอุทกภัยน้ำท่วม ณ บริเวณหน้าอาคารกระทรวงแรงงาน",,,,"n20120522_4.jpg","2","10","0",,"_self","2555-05-27",,,NULL,NULL,NULL,NULL,,"2017-11-24",NULL,,,,"1","0",,,,NULL,NULL,"1","1","1",,,,"0",NULL,NULL,NULL,NULL
"6","1","2554-11-18","20120522141029","20160829140107","2012-05-22 14:10:29","สมาคมแม่บ้านประชุมใหญ่วิสามัญ","สมาคมแม่บ้านแรงงาน  ได้จัดประชุมใหญ่วิสามัญ ครั้งที่ ๑/๒๕๕๔  เมื่อวันที่  ๔  สิงหาคม  ๒๕๕๔  ณ  ห้องประชุมสำนักงานปลัดกระทรวงแรงงาน โดยมี สาระสำคัญของการประขุมคือการพิจารณาจำนวนเงิน รายได้จากการออกร้านกาชาดกระทรวงแรงงาน ที่จะนำ ขึ้นทูลเกล้าฯถวาย แด่ สมเด็จพระเทพรัตนราชสุดาฯ ",,,,"n20120522_6.jpg","2","10","0",,"_self","2555-05-27",,,NULL,NULL,NULL,NULL,,"2017-11-24",NULL,,,,"1","0",,,,NULL,NULL,"1","1","1",,,"1","0",NULL,NULL,NULL,NULL
"7","1","2554-05-24","20120522141639","20120829195035","2012-05-22 14:16:39","สมาคมแม่บ้าน มอบรางวัล บัตรแรงงานเชิญรับโชค ประจำปี 2554","สมาคมแม่บ้านแรงงานร่วมกับกระทรวงแรงงาน จัดพิธีมอบรางวัลแก่ 3 ผู้โชคดี จากการจับสลาก บัตรแรงงานเชิญรับโชค ประจำปี 2554 เมื่อวันที่ 12 พฤษภาคม 2554 ณ บริเวณลานน้ำพุ หน้าอาคารกระทรวงแรงงาน นางจันทนี  ฉายะศรีวงศ์  นายกสมาคมแม่บ้านแรงงาน",,,,"n20120522_7.jpg","2","10","0",,"_self","2555-05-27",,,NULL,NULL,NULL,NULL,,"2017-11-24",NULL,,,,"1","0",,,,NULL,NULL,"1","1","1",,,"1","0",NULL,NULL,NULL,NULL
"8","1","2554-08-18","20120522142103","20120530103739","2012-05-22 14:21:03","ร่วมบันทึกเทปอาเศียรวาทถวายพระพร","วันที่ ๒๐ กรกฎาคม ๒๕๕๔ คณะกรรมการสมาคมแม่บ้านแรงงาน  และผู้บริหารระดับสูงของกระทรวงแรงงาน   ร่วมกันบันทึกเทปอาเศียรวาทถวายพระพรสมเด็จพระนางเจ้าสิริกิตติ์  พระบรมราชินีนาท  ในวโรกาสวันเฉลิมพระชนม์พรรษา  ๑๒  สิงหาคม  ๒๕๕๔  ณ  สถานีวิทยุโทรทัศน์แห่งประเทศไทย (ช่อง ๑๑ )  ถนนวิภาวดีรังสิต ",,,,"n20120522_8.jpg","2","10","0",,"_self","2555-05-27",,,NULL,NULL,NULL,NULL,,"2017-11-24",NULL,,,,"1","0",,,,NULL,NULL,"1","1","1",,,,"0",NULL,NULL,NULL,NULL
"9","1","2554-08-23","20120522143508","20120522143508","2012-05-22 14:35:08","มอบทุนการศึกษาของสมาคมแม่บ้านแรงงาน","การมอบเงินช่วยเหลือสนับสนุนการศึกษาแก่บุตรของข้าราชการ ลูกจ้างประจำ และพนักงานราชการ ได้เริ่มดำเนินการมาตั้งแต่ปี  ๒๕๔๐  เนื่องจากสมาคมฯ มีความห่วงใยสภาพชีวิต  ความเป็นอยู่ของข้าราชการและเจ้าหน้าที่  ซึ่งมีรายได้ค่อนข้างน้อย",,,,"n20120522_9.jpg","2","10","0",,"_self","2555-05-27",,,NULL,NULL,NULL,NULL,,"2017-11-24",NULL,,,,"1","0",,,,NULL,NULL,"1","1","1",,,"1","0",NULL,NULL,NULL,NULL
"10","1","2554-04-19","20120522143900","20120522152607","2012-05-22 14:39:00","ผลรางวัลสลากบำรุงสภากาชาดไทย  บัตรแรงงานเชิญรับโชค","ผลการออกรางวัลสลากบำรุงสภากาชาดไทย  บัตรแรงงานเชิญรับโชค ร้านกระทรวงแรงงาน   ประจำปี  2554 ",,,,"n20120522_10.jpg","2","10","0",,"_self","2555-05-27",,,NULL,NULL,NULL,NULL,,"2017-11-24",NULL,,,,"1","0",,,,NULL,NULL,"1","1","1",,,"1","0",NULL,NULL,NULL,NULL
