TITLE,DESCRIPTION,FILE,YOUTUBE
การผ่อนผันให้ผู้เสียสละและพยานในคดีค้ามนุษย์ อยู่ในราชอาณาจักรเป็นการชั่วคราว และได้รับอนุญาตให้ทำงานได้ตามกฏหมาย,,,
การผ่อนผันให้ผู้เสียสละและพยานในคดีค้ามนุษย์ อยู่ในราชอาณาจักรเป็นการชั่วคราว และได้รับอนุญาตให้ทำงานได้ตามกฏหมาย ตามมติคณะรัฐมนตรี เมื่อวันที่ ๑๕ มีนาคม ๒๕๕๙  ,,download/article/article_20160607115820.pdf,
พระราชบัญญัติป้องกันและปราบปรามการค้ามนุษย์ พ.ศ.2551 และที่แก้ไขเพิ่มเติม,,download/Download/human_trafficking_2551_for19Nov2015_001.pdf,
พระราชบัญญัติคุ้มครองแรงงาน พ.ศ. 2541 และที่แก้ไขเพิ่มเติม,,download/Download/2labour_2541_for19Nov2015_001.pdf,
พระราชบัญญัติการทำงานของคนต่างด้าว พ.ศ. 2551,,download/Download/3Law_doe_2551_for19Nov2015_001.pdf,
พระราชบัญญัติเงินทดแทน พ.ศ. 2537,,download/Download/5Law_money_2537_for19Nov2015_001.pdf,
พระราชกำหนดการประมง พ.ศ. 2558,,download/Download/6Law_pramong_2558_for19Nov2015_001.pdf,
พระราชบัญญัติแรงงานทางทะเล พ.ศ. 2558,,download/Download/7Law_seaDOE_2558_for19Nov2015_001.pdf,
กฎกระทรวงคุ้มครองแรงงานในงานประมงทะเล พ.ศ. 2557,,download/Download/8Law_seaDoe_2557_for19Nov2015_001.pdf,
ระเบียบสำนักนายกรัฐมนตรีว่าด้วยมาตรการทางบริหารในการป้องกันเจ้าหน้าที่ของรัฐมิให้เกี่ยวข้องกับการค้ามนุษย์ พ.ศ. 2558,,download/Download/9Law_human_for19Nov2015_001.pdf,
ffd,,download/article/article_20151120113416.jpg,
พพไไพพพ,,download/article/article_20151120125921.jpg,
พระราชบัญญัติจัดหางานและคุ้มครองคนหางาน พ.ศ. 2528 และที่แก้ไขเพิ่มเติม,,download/Download/19-20-9999-update.pdf,
TEST,,,
พระราชบัญญัติคุ้มครองแรงงาน พ.ศ. 2541 และที่แก้ไขเพิ่มเติม ,,download/Download/2labour_2541_for19Nov2015_001.pdf,
พระราชกำหนดการบริหารจัดการการทำงานของคนต่างด้าว พ.ศ. 2560,,download/article/article_20170622150901.pdf,
