URL,Drupal Run Importer,Change Post Type,,,,,,,,,,,Made by,Note,Click,,,,,,,,
,,ข่าวประชาสัมพันธ์ (9),ข่าวกิจกรรม (148),ประกาศ ? (140),สถานการณ์แรงงานจังหวัด (ข้อมูล/สถาณการณ์แรงงานจังหวัด),สถิติแรงงานจังหวัด,Link ที่น่าสนใจ (ภายนอก),Web Link (ภายใน),Map (search gg iframe),Address (footer),สถาณการณ์แรงงานไทย (เพิ่มรูปเฉยๆ),ข้อมูลภาพรวมจังหวัด (เพิ่มรูป + ลิ้งไปหน้า),,,,,,,,,,,
kanchanaburi2.mol.go.th,Done,Done,Done,Done,Done,Done,,,,,,,F,"สถิติแรงงานจังหวัด,ตำแหน่งงานว่าง form ไม่รองรับไฟล์ rar, ตอนนี้มาแต่ชื่อ ไฟล์ไม่มี, หน้าเว็บลิงค์ยังเป็น # ไม่สามรถลิงค์ได้, ประกาศไม่มีทางเข้า(link)",,,,,,ภูมิประเทศ-2,,/terrain,
chainat2.mol.go.th,Done,Done,Done,Not Found,Done,Done,,,,,,,F,,,,,,,ภููมิอากาศ,,/weather,ลบหน้า /weather 
nakhonpathom2.mol.go.th,Done,Done,Done,Not Found,Done,Done,,,,,,,F,,,,,,,,,,
nonthaburi2.mol.go.th,Done,Done,Done,Done,Done,Done,,,,,,,F,,,,,,,สถานการณ์แรงงานไทย,,,
pathumthani2.mol.go.th,Done,Done,Done,Done,Not Found,Done,,,,,,,F,,,,,,,,แนวโน้มและโอกาสของแรงงานไทย,/labour-trends,
prachuapkhirikhan2.mol.go.th,Done,Done,Done,Done,Done,Done,,,,,,,F,,,,,,,,ปัญหาที่ส่งผลต่อการจ้างแรงงานไทย,/problem-labour,
ayutthaya2.mol.go.th,Done,Done,Done,Not Found,Done,Done,,,,,,,F,,,,,,,,ปััญหาทั่วไปของแรงงานไทย,/general-problem,
phetchaburi2.mol.go.th,Done,Done,Done,Done,Done,Done,,,,,,,F,"สถิติแรงงานจังหวัด,ตำแหน่งงานว่าง form ไม่รองรับไฟล์ rar, ตอนนี้มาแต่ชื่อ ไฟล์ไม่มี",,,,,,,ตลาดแรงงานไทย,/labour-market,
ratchaburi2.mol.go.th,Done,Done,Done,Not Found,Done,Done,,,,,,,F,,,,,,,,สวัสดิการแรงงานไทย,/labour-welfare,
lopburi2.mol.go.th,Done,Done,Done,Done,Not Found,Done,,,,,,,F,,,,,,,,รายได้ส่งกลับ,/revenues,
samutprakan2.mol.go.th,Done,Done,Done,Done,Done,Done,,,,,,,F,,,,,,,,,,
