new_url,old_url,address,email,tel,index,active_url
pathumthani2.mol.go.th,pathumthani.mol.go.th,สำนักงานแรงงานจังหวัดปทุมธานี ศาลากลางจังหวัด เลขที่ 1 ชั้น 1 แยกปทุมวิไล ถนนปทุมสามโคก ตำบลบางปรอก อำเภอเมือง จังหวัดปทุมธานี 12000,pathumthani@mol.go.th,0-2581-7954-5,4,https://pathumthani2.mol.go.th/wp-admin/admin.php?page=acf-options
prachuapkhirikhan2.mol.go.th,prachuapkhirikhan.mol.go.th,สำนักงานแรงงานจังหวัดประจวบคีรีขันธ์ ศาลากลางจังหวัด ชั้น4 อำเภอเมือง จังหวัดประจวบคีรีขันธ์ 77000,prachuap@mol.go.th,0-3260-2265,5,https://prachuapkhirikhan2.mol.go.th/wp-admin/admin.php?page=acf-options
ayutthaya2.mol.go.th,ayutthaya.mol.go.th,สำนักงานแรงงานจังหวัดพระนครศรีอยุธยา ชั้น3 อาคาร 4 ชั้น อำเภอพระนครศรีอยุธยา จังหวัดพระนครศรีอยุธยา 13000,ayutthaya@mol.go.th,0-3533-6521-2,6,https://ayutthaya2.mol.go.th/wp-admin/admin.php?page=acf-options
phetchaburi2.mol.go.th,phetchaburi.mol.go.th,สำนักงานแรงงานจังหวัดเพชรบุรี 2/105-106 ตำบลไร่ส้ม อำเภอเมือง จังหวัดเพชรบุรี 76000,petchaburi@mol.go.th,0-3240-0251-2,7,https://phetchaburi2.mol.go.th/wp-admin/admin.php?page=acf-options
ratchaburi2.mol.go.th,ratchaburi.mol.go.th,สำนักงานแรงงานจังหวัดราชบุรี  75/24 หมู่ที่ 3 ถนนท้าวอู่ทอง ตำบลดอนตะโก อ.เมือง จ.ราชบุรี 70000,ratchburi@mol.go.th,032-733447-8,8,https://ratchaburi2.mol.go.th/wp-admin/admin.php?page=acf-options
lopburi2.mol.go.th,lopburi.mol.go.th,สำนักงานแรงงานจังหวัดลพบุรี ศาลากลางจังหวัด (หลังเก่า) ชั้น1 ถนนนารายณ์มหาราช ตำบลทะเลชุบศร อำเภอเมือง จังหวัดลพบุรี 15000,lopburi@mol.go.th,0-3677-0208,9,https://lopburi2.mol.go.th/wp-admin/admin.php?page=acf-options
samutprakan2.mol.go.th,samutprakan.mol.go.th,สำนักงานแรงงานจังหวัดสมุทรปราการ 1636 หมู่4 ถนนเทพารักษ์ อำเภอเมือง จังหวัดสมุทรปราการ 10270,samutprakan@mol.go.th,0-2380-6889,10,https://samutprakan2.mol.go.th/wp-admin/admin.php?page=acf-options
samutsongkhram2.mol.go.th,samutsongkhram.mol.go.th,สำนักงานแรงงานจังหวัดสมุทรสงคราม ศาลากลางจังหวัด หลังใหม่ ชั้น 5 ต.แม่กลอง อ.เมือง จ.สมุทรสงคราม 75000,samutsong@mol.go.th,0-3471-6116,11,https://samutsongkhram2.mol.go.th/wp-admin/admin.php?page=acf-options
samutsakhon2.mol.go.th,samutsakhon.mol.go.th,สำนักงานแรงงานจังหวัดสมุทรสาคร ศาลากลางจังหวัด ชั้น1 ถนนเศรษฐกิจ 1 อำเภอเมือง จังหวัดสมุทรสาคร 74000,samutsa@mol.go.th,0-3442-6758,12,https://samutsakhon2.mol.go.th/wp-admin/admin.php?page=acf-options
saraburi2.mol.go.th,saraburi.mol.go.th,สำนักงานแรงงานจังหวัดสระบุรี ศาลากลางจังหวัดสระบุรี ถนนพิชัยรณรงค์สงคราม ตำบลปากเพรียว อำเภอเมือง จังหวัดสระบุรี 18000,saraburi@mol.go.th,0-3622-0059,13,https://saraburi2.mol.go.th/wp-admin/admin.php?page=acf-options
