address,new_url,iframe,action_url
สำนักงานแรงงานจังหวัดอุบลราชธานี ศาลากลางจังหวัดอุบลราชธานี ชั้น 2 ถนนแจ้งสนิท ตำบลแจระแม อำเภอเมือง จังหวัดอุบลราชธานี 34000,ubonratchathani2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15396.317901930717!2d104.81400657905814!3d15.263461130987787!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x31168876e63fa12b%3A0x68b0ceca16081e5!2z4Lio4Liy4Lil4Liy4LiB4Lil4Liy4LiH4LiI4Lix4LiH4Lir4Lin4Lix4LiU4Lit4Li44Lia4Lil4Lij4Liy4LiK4LiY4Liy4LiZ4Li1!5e0!3m2!1sen!2sth!4v1545024061011"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://ubonratchathani2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดกำแพงเพชร ศาลากลางจังหวัด ชั้น2 ตำบลหนองปลิง อำเภอเมือง จังหวัดกำแพงเพชร 62000,kamphaengphet2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3824.42658578236!2d99.50908391491183!3d16.55502173063274!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30de186c94dbdb8d%3A0x9bdc3610290b37fd!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4LiI4Lix4LiU4Lir4Liy4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4LiB4Liz4LmB4Lie4LiH4LmA4Lie4LiK4Lij!5e0!3m2!1sen!2sth!4v1545024101538"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://kamphaengphet2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดเพชรบูรณ์ ศาลากลางจังหวัด ชั้น 3 ถนนสระบุรี-หล่มสัก ตำบลสะเดียง อำเภอเมืองเพชรบูรณ์ จังหวัดเพชรบูรณ์ 67000,phetchabun2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d15305.995041783615!2d101.14528367922763!3d16.450263897760273!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x31203a8356cf992f%3A0x66048968084f6b67!2sPhetchabun+Provincial+Labor+Protection+and+Welfare+Office!5e0!3m2!1sen!2sth!4v1545024136946"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://phetchabun2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดเชียงราย ศูนย์ราชการกระทรวงแรงงาน ถนนศูนย์ราชการ ตำบลริมกก อำเภอเมือง จังหวัดเชียงราย 57100,chiangrai2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3750.862990286788!2d99.864109864948!3d19.93017762974564!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30d7071a25af6f31%3A0x9888393dd282bc14!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4LmB4Lij4LiH4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4LmA4LiK4Li14Lii4LiH4Lij4Liy4Lii!5e0!3m2!1sen!2sth!4v1545024162017"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://chiangrai2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดเชียงใหม่ ศาลากลางจังหวัด ชั้น1 ถนนโชตนา อำเภอเมือง จ.เชียงใหม่ 50300,chiangmai2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3776.116883052712!2d98.96899276493536!3d18.83747006432178!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30da3b0703ec3657%3A0xf72d746416cc8de3!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4LmB4Lij4LiH4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4LmA4LiK4Li14Lii4LiH4LmD4Lir4Lih4LmI!5e0!3m2!1sen!2sth!4v1545024184809"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://chiangmai2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดตาก ศาลาากลางจังหวัด ชั้น1 ถนนพหลโยธิน อำเภอเมือง จังหวัดตาก 63000,tak2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3817.831416328832!2d99.123147814915!3d16.88423202156496!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30ddd9c31c30d2c5%3A0x4a824fdf5715bcbb!2sTak+Provincial+Hall!5e0!3m2!1sen!2sth!4v1545024215021"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://tak2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดนครสวรรค์ ศาลากลางจังหวัด ชั้น3 ถนนสวรรค์วิถี อำเภอเมือง จังหวัดนครสวรรค์ 60000,nakhonsawan2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3841.0440885312496!2d100.12430931490397!3d15.69581115350559!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30e04f077668b7ff%3A0xf36187f5e3d435a6!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4LmB4Lij4LiH4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4LiZ4LiE4Lij4Liq4Lin4Lij4Lij4LiE4LmM!5e0!3m2!1sen!2sth!4v1545024233455"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://nakhonsawan2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดน่าน ศาลากลางชั้น 1 ตำบลไชยสถาน อำเภอเมือง จังหวัดน่าน 55000,nan2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3777.0253357960783!2d100.73044036493486!3d18.797024215566633!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x4add4980829cc2cf!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZ4LiI4Lix4LiU4Lir4Liy4LiH4Liy4LiZ4LiI4Lix4LiH4Lir4Lin4Lix4LiU4LiZ4LmI4Liy4LiZ!5e0!3m2!1sen!2sth!4v1545024285570"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://nan2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดพะเยา ศาลากลางจังหวัด (หลังเก่า) ชั้น2 อำเภอเมือง จังหวัดพะเยา 560000,phayao2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d60286.52998110291!2d99.84877193656531!3d19.199214834679573!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30d82cd324b142d9%3A0x9952f6a137dbad38!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZIOC5geC4o-C4h-C4h-C4suC4meC4iOC4seC4h-C4q-C4p-C4seC4lOC4nuC4sOC5gOC4ouC4sg!5e0!3m2!1sen!2sth!4v1545024311123"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://phayao2.mol.go.th/wp-admin/post.php?post=180&action=edit
สำนักงานแรงงานจังหวัดพิจิตร ศาลากลางจังหวัด อาคารใหม่ ชั้น2 ต.ท่าหลวง อ.เมือง จ.พิจิตร 66000,phichit2.mol.go.th,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7654.07433523542!2d100.36959702475303!3d16.42293864578566!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x30dfe5b5c0b64089%3A0xddd4165ebfb6025c!2z4Liq4Liz4LiZ4Lix4LiB4LiH4Liy4LiZIOC5geC4o-C4h-C4h-C4suC4meC4iOC4seC4h-C4q-C4p-C4seC4lOC4nuC4tOC4iOC4tOC4leC4ow!5e0!3m2!1sen!2sth!4v1545024331511"" width=""600"" height=""450"" frameborder=""0"" style=""border:0"" allowfullscreen></iframe>",https://phichit2.mol.go.th/wp-admin/post.php?post=180&action=edit
