name,link,action_url,index
x,http://www.suratthani.mol.go.th/node/24775,https://suratthani2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,597
กรมพัฒนาฝีมือแรงงาน,http://www.dsd.go.th/,https://suratthani2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,596
สำนักงานประกันสังคม,http://www.sso.go.th/wpr/home.jsp,https://suratthani2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,595
กรมสวัสดิการและคุ้มครองแรงงาน,http://www.labour.go.th/th/,https://suratthani2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,594
กรมการจัดหางาน,http://www.doe.go.th,https://suratthani2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,593
กระทรวงแรงงาน,http://www.mol.go.th/anonymouse/home,https://suratthani2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,592
รัฐบาลไทย,http://www.thaigov.go.th/index.php,https://suratthani2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,591
x,https://www.govchannel.go.th/?AspxAutoDetectCookieSupport=1,https://suratthani2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,590
x,http://nlic.mol.go.th/,https://suratthani2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,589
e-labour บริการประชาชน กระทรวงแรงงาน,http://lb.mol.go.th/main.php?filename=index,https://suratthani2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,588
x,https://www.govchannel.go.th/?AspxAutoDetectCookieSupport=1,https://suratthani2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,587
กรมพัฒนาฝีมือแรงงาน,http://www.dsd.go.th/suratthani,https://suratthani2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,586
x,http://suratthani.labour.go.th/,https://suratthani2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,585
สำนักงานประกันสังคม,http://www.sso.go.th/suratthani/,https://suratthani2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,584
กรมการจัดหางาน,https://www.doe.go.th/prd/suratthani,https://suratthani2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,583
x,http://www.suratthani.go.th/home/,https://suratthani2.mol.go.th/wp-admin/post-new.php?post_type=interesting_links,582
