new_url,old_url,interest_links,web_links
saraburi2.mol.go.th,saraburi.mol.go.th,"['http://labourproduct.mol.go.th/saraburi', 'http://saraburi.mol.go.th/node/1462', 'http://saraburi.mol.go.th/node/1463', 'http://www.mol.go.th/', 'http://www.saraburi.go.th/', 'http://www.oic.go.th/INFOCENTER19/1965/#', 'http://www.saraburi.go.th/damrongtham/', 'http://flagship.prd.go.th/main.php?filename=index_announced', 'http://newkm.nlic.mol.go.th/SitePages/Home.aspx', 'http://www.mol.go.th/content/workerstation', 'http://www.doe.go.th/saraburi/', 'http://www.dsd.go.th/saraburi', 'http://www.facebook.com/people/%E0%B8%AA%E0%B8%B3%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%AA%E0%B8%A7%E0%B8%B1%E0%B8%AA%E0%B8%94%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%A5%E0%B8%B0-%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1%E0%B8%84%E0%B8%A3%E0%B8%AD%E0%B8%87%E0%B9%81%E0%B8%A3%E0%B8%87%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%AA%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5/100003137723921', 'http://www.sso.go.th/saraburi/', 'http://counterservice.mol.go.th/', 'http://lb.mol.go.th/', 'http://job.doe.go.th/', 'http://nlic.mol.go.th/', 'http://smartjob.doe.go.th/', 'http://flagship.prd.go.th/main.php?filename=index_economic', 'http://app.tv5.co.th/videoondemand/channel-5/list-tv5/?cat_id=43', 'https://drive.google.com/file/d/0B8ChsMT0eaUccEtfVG1OS2prZ0E/view?ts=567e4058', 'http://www.prd.go.th/main.php?filename=Govletter', 'https://www.info.go.th/#!/th/search///', 'http://saraburi.mol.go.th/', 'http://facebook.com/mol.saraburi', 'https://twitter.com/MOL_SARABURI', 'https://play.google.com/store/apps/details?id=com.labour&hl=th', 'https://play.google.com/store/apps/details?id=doe.go.th.smartjob', 'https://play.google.com/store/apps/details?id=com.luminos.sso', 'https://play.google.com/store/apps/details?id=com.ionicframework.mySSO131977']","['mailto:saraburi_labor@hotmail.com', 'mailto:saraburi.mol@gmail.com', '/../calendar']"
singburi2.mol.go.th,singburi.mol.go.th,"['http://www.doe.go.th/singburi/', 'http://www.dsd.go.th/singburi', 'http://singburi.labour.go.th/', 'http://www.sso.go.th/singburi/', 'http://labourproduct.mol.go.th/singburi', 'http://www.singburi.go.th/damrongtham/index.php', 'http://www.facebook.com/singburi.labour', 'http://doe.go.th/helpme', 'https://www.labour.go.th/th/', 'https://www.doe.go.th/lmia', 'http://lb.mol.go.th/main.php?filename=index', 'http://www.mol.go.th/anonymouse/content/Asean2012', 'http://intranet.mol.go.th/login/login.php', 'http://www.oic.go.th/INFOCENTER17/1793/#', 'http://singburi.mol.go.th/node/26968']","['/../link', '/../calendar', '/system/files/t.kh_.60_4.pdf', '/system/files/ph.y.60_0.pdf', '/system/files/th.kh_.60_0.pdf', '/system/files/m.kh_.61_0.pdf', '/system/files/k.ph_.61_0.pdf', '/system/files/mii.kh_.61_0.pdf', '/system/files/em.y.61_0.pdf', '/system/files/ph.kh_.61_0.pdf', '/system/files/mi.y.61_0.pdf', '/system/files/k.kh_.61_0.pdf', '/system/files/s.kh_.61.pdf', '/system/files/k.y.61.pdf', '/system/files/ngwdthii1_2562_2.pdf', '/system/files/ngwdthii2_2562_1.pdf']"
angthong2.mol.go.th,angthong.mol.go.th,"['http://labourproduct.mol.go.th/angthong', 'http://www.facebook.com/profile.php?id=100011431652466&fref=ts', 'https://twitter.com/labour_angthong', 'http://www.mol.go.th/anonymouse/home', 'https://www.doe.go.th/prd/', 'http://www.labour.go.th/th/', 'http://www.dsd.go.th/', 'http://www.sso.go.th/wpr/home.jsp', 'http://www.angthong.go.th/', 'http://www.thaigov.go.th/program1.html', 'http://www.cabinet.thaigov.go.th/index.php', 'http://www.otopangthong.com/web/', 'http://www.angthong.go.th/2554/index.php?option=com_content&view=article&id=1320', 'http://www.sme.go.th/th/index.php/member', 'http://www.angthong.go.th/damrongtham/']","['/../link', '/sites/angthong.mol.go.th/files/189283_0.jpg', '/sites/angthong.mol.go.th/files/khaaniym_12_prakaar_0.jpg']"
chanthaburi2.mol.go.th,chanthaburi.mol.go.th,"['http://labourproduct.mol.go.th/chanthaburi', 'https://www.facebook.com/chanthaburiofLabour', 'https://www.doe.go.th/prd/chanthaburi', 'http://www.sso.go.th/chanthaburi/', 'http://chanthaburi.labour.go.th/', 'http://www.chanthaburi.go.th/new/#&panel1-1']","['/../link', '/../calendar']"
chachoengsao2.mol.go.th,chachoengsao.mol.go.th,"['http://labourproduct.mol.go.th/chachoengsao', 'http://www.mol.go.th/', 'http://counterservice.mol.go.th/main.php?filename=index', 'https://www.facebook.com/%E0%B8%AA%E0%B8%B3%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%AA%E0%B8%A7%E0%B8%B1%E0%B8%AA%E0%B8%94%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%84%E0%B8%B8%E0%B9%89%E0%B8%A1%E0%B8%84%E0%B8%A3%E0%B8%AD%E0%B8%87%E0%B9%81%E0%B8%A3%E0%B8%87%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%89%E0%B8%B0%E0%B9%80%E0%B8%8A%E0%B8%B4%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%A3%E0%B8%B2-1383755825199191/', 'http://doe.go.th/chachoengsao/', 'http://www.sso.go.th/wpr/content.jsp?lang=th&cat=894&id=3806', 'http://www.dsd.go.th/Chachoengsao', 'https://www.facebook.com/profile.php?id=100007646377761', 'https://twitter.com/koysupapor']","['/../link', '/../calendar']"
trat2.mol.go.th,trat.mol.go.th,"['http://labourproduct.mol.go.th/trat', 'http://www.trat.go.th/', 'https://www.doe.go.th/prd/trat', 'http://trat.labour.go.th/', 'http://www.sso.go.th/trat/', 'http://www.dsd.go.th/trat', 'http://counterservice.mol.go.th/main.php?filename=index', 'https://www.facebook.com/ThailandMOL/', 'http://www.mol.go.th/anonymouse/content/Asean2012', 'http://www.xn--12clj3d7bc4c0cbcc.net/%E0%B8%95%E0%B8%A3%E0%B8%B2%E0%B8%94-4-182-page1']","['/../link', '/../calendar']"
nakhonnayok2.mol.go.th,nakhonnayok.mol.go.th,"['http://labourproduct.mol.go.th/nakhonnayok', 'http://www.mol.go.th', 'http://intranet.mol.go.th/login/login.php', 'http://www.nakhonnayok.go.th/', 'http://www.doe.go.th/nakhonnayok', 'http://www.dsd.go.th/nakhonnayok', 'http://nakhonnayok.labour.go.th/', 'http://www.sso.go.th/wprp/nakhonnayok/home.jsp', 'https://twitter.com/nakhonnayokmol1', 'https://www.facebook.com/profile.php?id=100013329949249', 'https://gmail.com']","['/../link', '/../calendar']"
prachinburi2.mol.go.th,prachinburi.mol.go.th,"['https://www.facebook.com/Prachinburi.MOL/', 'https://twitter.com/?request_context=signup', 'http://line.me/ti/p/%40nuf3591b', 'https://mail.google.com/mail/u/0/#inbox', 'http://labourproduct.mol.go.th/prachinburi', 'http://doe.go.th/prachinburi/', 'http://prachinburi.labour.go.th/index.php?option=com_content&view=frontpage', 'http://www.dsd.go.th/prachinburi', 'http://www.sso.go.th/wprp/prachinburi/home.jsp?lang=th', 'http://nlic.mol.go.th/th/index', 'http://lb.mol.go.th/main.php?filename=index', 'http://www.prachinburi.go.th/damrongtum/', 'http://www.prachinburi.go.th/', 'https://www.egov.go.th/th/e-government-service/384/', 'http://www.oic.go.th/ginfo/', 'https://www.info.go.th/Intro', 'https://www.govchannel.go.th/', 'https://www.facebook.com/%E0%B8%8A%E0%B8%A1%E0%B8%A3%E0%B8%A1-%E0%B8%9F%E0%B8%B9%E0%B8%88%E0%B8%B4%E0%B8%84%E0%B8%B9%E0%B8%A3%E0%B8%B0-%E0%B8%9B%E0%B8%A3%E0%B8%B2%E0%B8%88%E0%B8%B5%E0%B8%99%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5-To-be-Number-One-1454003174854861/']",[]
rayong2.mol.go.th,rayong.mol.go.th,"['http://labourproduct.mol.go.th/rayong', 'https://www.facebook.com/labour.rayong?fref=ts', 'http://rayong.mol.go.th/situation', 'http://rayong.mol.go.th/node/14254', 'https://docs.google.com/forms/d/e/1FAIpQLSf1cMQkwJw9WgU2Z6n_Q8E6i7yfkvsMgoo3C47LTYFUKsqWOA/viewform?c=0&w=1', 'http://rayong.mol.go.th/home?id=1', 'http://www.doe.go.th/rayong/', 'http://rayong.labour.go.th', 'http://www.sso.go.th/rayong/', 'http://www.dsd.go.th/rayong', 'http://www.sso.go.th/eirc/', 'http://www.doe.go.th/lmi-east/', 'http://www.mol.go.th/', 'http://www.doe.go.th/', 'http://www.labour.go.th/', 'http://www.dsd.go.th/', 'http://www.sso.go.th/']","['/../link', '/../calendar']"
sakaeo2.mol.go.th,sakaeo.mol.go.th,"['http://labourproduct.mol.go.th/sakaeo', 'http://www.mol.go.th/anonymouse/home', 'http://www.sso.go.th/wpr/home.jsp', 'http://www.doe.go.th/home', 'http://www.labour.go.th/th/', 'http://www.dsd.go.th/', 'https://www.govchannel.go.th/', 'http://www.facebook.com/laboursakaeo/']","['/../link', '/../calendar']"
