new_url,old_url,name,link,index
chachoengsao2.mol.go.th,chachoengsao.mol.go.th,['ภาพกิจกรรม'],['http://www.youtube.com/watch?v=vD_pR6ekz_4'],18
nakhonnayok2.mol.go.th,nakhonnayok.mol.go.th,['เดินหน้าประเทศไทย ตอน เดินหน้าแรงงานไทย ก้าวไปพร้อมกัน'],['http://www.youtube.com/watch?v=yu-o240lqNU'],21
prachinburi2.mol.go.th,prachinburi.mol.go.th,"['To Be number one ปราจีนบุรี', 'สถานีแรงงานปราจีน ตอนที่ 1 เรื่องการป้องกันการค้ามนุษย์ด้านแรงงาน']","['http://www.youtube.com/watch?v=RYJ2EIkkFZo', 'http://www.youtube.com/watch?v=AjrVtC330KA']",22
rayong2.mol.go.th,rayong.mol.go.th,['เดินหน้าประเทศไทย 3 มีนาคม 2561'],['http://www.youtube.com/watch?v=G_KPBdxK8lg'],23
sakaeo2.mol.go.th,sakaeo.mol.go.th,['สถานีแรงงาน 13ก.ย.59'],['http://www.youtube.com/watch?v=g014BsL1IZQ'],24
kalasin2.mol.go.th,kalasin.mol.go.th,"['การนำเข้าแรงงานต่างด้าวตาม MOU', 'ประชารัฐรวมพลังสร้างยุวแรงงาน รายการเดินหน้าประเทศไทยวัยทีน 18/03/61']","['http://www.youtube.com/watch?v=dK9Kv2nduuI', 'http://www.youtube.com/watch?v=rzH6v7jvVYg']",25
khonkaen2.mol.go.th,khonkaen.mol.go.th,['ผลงานในรอบ 1 ปี กระทรวงแรงงาน'],['http://www.youtube.com/watch?v=-IqemoBkor4'],26
buriram2.mol.go.th,buriram.mol.go.th,['ผลงานในรอบ 1 ปี กระทรวงแรงงาน'],['http://www.youtube.com/watch?v=-IqemoBkor4'],31
mukdahan2.mol.go.th,mukdahan.mol.go.th,['VTS 01 1'],['http://www.youtube.com/watch?v=COfg9vgcbsU'],33
roiet2.mol.go.th,roiet.mol.go.th,['ประชารัฐรวมพลังสร้างยุวแรงงาน รายการเดินหน้าประเทศไทยวัยทีน 18/03/61'],['http://www.youtube.com/watch?v=rzH6v7jvVYg'],35
sisaket2.mol.go.th,sisaket.mol.go.th,['เดินหน้าประเทศไทย ตอน เดินหน้าแรงงานไทย ก้าวไปพร้อมกัน'],['http://www.youtube.com/watch?v=yu-o240lqNU'],37
sakonnakhon2.mol.go.th,sakonnakhon.mol.go.th,['“บิ๊กอู๋” กล่าวถ้อยแถลงบนเวที ILO สมัยที่ 107'],['http://www.youtube.com/watch?v=cXaXeITeI64'],38
surin2.mol.go.th,surin.mol.go.th,['รัฐมนตรีว่าการกระทรวงแรงงาน กล่าวถ้อยแถลงต่อที่ประชุมใหญ่ ณ นครเจนีวา สมาพันธรัฐสวิส 13 มิ.ย. 2560'],['http://www.youtube.com/watch?v=HUbaqJwCnOY'],39
nongkhai2.mol.go.th,nongkhai.mol.go.th,['มาร์ชจังหวัดหนองคาย'],['http://www.youtube.com/watch?v=zdnidmsauk4'],40
nongbualamphu2.mol.go.th,nongbualamphu.mol.go.th,['ผลงานในรอบ 1 ปี กระทรวงแรงงาน'],['http://www.youtube.com/watch?v=-IqemoBkor4'],41
ubonratchathani2.mol.go.th,ubonratchathani.mol.go.th,"['กิจกรรมออกกำลังกาย สนง.แรงงานจังหวัดอุบลราชธานี', 'พล.ต.อ.อดุลย์ แสงสิงแก้ว รมว.แรงงาน มอบนโยบายข้าราชการกระทรวงแรงงาน วันเสาร์ที่ 2 ธ.ค.60']","['http://www.youtube.com/watch?v=ZJgRD917IQ0', 'http://www.youtube.com/watch?v=yADwKJyTqtg']",44
phetchabun2.mol.go.th,phetchabun.mol.go.th,['THAILAND 4.0 by MOC '],['http://www.youtube.com/watch?v=OEfY3rQZpNo'],46
chiangmai2.mol.go.th,chiangmai.mol.go.th,"['สำนักงานแรงงานจังหวัดเชียงใหม่ กระทรวงแรงงาน Ministry of Labour', 'สำนักงานแรงงานจังหวัดเชียงใหม่ จัดงาน มหกรรมรวมพลังเครือข่ายแรงงานเชียงใหม่']","['http://www.youtube.com/watch?v=C1eVrmFj-Qw', 'http://www.youtube.com/watch?v=spEwt4roxws']",48
nakhonsawan2.mol.go.th,nakhonsawan.mol.go.th,['ประชารัฐรวมพลังสร้างยุวแรงงาน รายการเดินหน้าประเทศไทยวัยทีน 18/03/61'],['http://www.youtube.com/watch?v=rzH6v7jvVYg'],50
nan2.mol.go.th,nan.mol.go.th,['“บิ๊กอู๋” กล่าวถ้อยแถลงบนเวที ILO สมัยที่ 107'],['http://www.youtube.com/watch?v=cXaXeITeI64'],51
lampang2.mol.go.th,lampang.mol.go.th,['ลำปาง เขลางค์นคร'],['http://www.youtube.com/watch?v=oDODvzUp4cs'],57
nakhonsithammarat2.mol.go.th,nakhonsithammarat.mol.go.th,['กฎหมายแรงงาน'],['http://www.youtube.com/watch?v=FTd7Nv1fzxo'],65
narathiwat2.mol.go.th,narathiwat.mol.go.th,"['เดินหน้าประเทศไทย ตอน เดินหน้าแรงงานไทย ก้าวไปพร้อมกัน', 'ประชารัฐรวมพลังสร้างยุวแรงงาน รายการเดินหน้าประเทศไทยวัยทีน 18/03/61']","['http://www.youtube.com/watch?v=yu-o240lqNU', 'http://www.youtube.com/watch?v=rzH6v7jvVYg']",66
pattani2.mol.go.th,pattani.mol.go.th,['เสวนา May Day 27 เม ย  60'],['http://www.youtube.com/watch?v=ZmFWxom4x38'],67
phangnga2.mol.go.th,phangnga.mol.go.th,['สถานีแรงงาน 27ก.ย.59'],['http://www.youtube.com/watch?v=_AALmz1M5SA'],68
phatthalung2.mol.go.th,phatthalung.mol.go.th,['“บิ๊กอู๋” กล่าวถ้อยแถลงบนเวที ILO สมัยที่ 107'],['http://www.youtube.com/watch?v=cXaXeITeI64'],69
songkhla2.mol.go.th,songkhla.mol.go.th,['ประชารัฐรวมพลังสร้างยุวแรงงาน รายการเดินหน้าประเทศไทยวัยทีน 18/03/61'],['http://www.youtube.com/watch?v=rzH6v7jvVYg'],73
suratthani2.mol.go.th,suratthani.mol.go.th,"['“บิ๊กอู๋” กล่าวถ้อยแถลงบนเวที ILO สมัยที่ 107', 'กฎหมายแรงงาน', 'กรมพัฒนาฝีมือแรงงาน กับภารกิจส่งเสริมและพัฒนาฝีมือแรงงานให้มีศักยภาพ', 'จิ๋ว Guru : กองทุนประกันสังคม & กองทุนเงินทดแทน คืออะไร', ""KTB บริการประกันสังคม 'ยื่น จ่าย รับ'""]","['http://www.youtube.com/watch?v=cXaXeITeI64', 'http://www.youtube.com/watch?v=FTd7Nv1fzxo', 'http://www.youtube.com/watch?v=8BnIKEmvbjc', 'http://www.youtube.com/watch?v=Va9fRh_-iNE', 'http://www.youtube.com/watch?v=rdWlpnj8s3g']",75
